Student_ID,Class,Age,Gender,Income,Caste,Parents_Edu,Parents_Occ,HH_Size,First_Gen,Electricity,Internet,Distance_km,Transport,Total_Days,Days_Present,Attendance_%,Monthly_Avg_Att,Prev_%,Midday,Scholarship,Tuition
MR00001,7,12,Male,6000,SC,Graduate,Driver,5,Yes,Yes,Yes,6,Yes,220,124,56.4,56,43,Yes,No,Yes
MR00002,6,11,Male,6000,SC,Graduate,Labourer,4,No,Yes,No,6,Yes,220,171,77.7,77,42,Yes,Yes,No
MR00003,9,14,Male,15000,General,Secondary,Farmer,4,No,Yes,No,6,Yes,220,138,62.7,62,58,Yes,Yes,No
MR00004,7,12,Male,18000,SC,Secondary,Driver,8,No,Yes,No,1,Yes,220,174,79.1,79,50,Yes,Yes,No
MR00005,10,15,Female,6000,ST,Primary,Farmer,8,No,Yes,Yes,3,Yes,220,165,75,75,58,Yes,Yes,Yes
MR00006,7,12,Male,6000,General,None,Labourer,8,No,Yes,Yes,5,No,220,162,73.6,73,65,Yes,Yes,Yes
MR00007,6,11,Male,6000,SC,Primary,Farmer,6,Yes,Yes,No,4,No,220,194,88.2,88,71,Yes,No,No
MR00008,10,15,Female,5000,SC,Graduate,Labourer,8,Yes,No,No,6,No,220,203,92.3,92,68,Yes,Yes,Yes
MR00009,6,11,Male,5000,SC,None,Farmer,4,Yes,Yes,No,7,Yes,220,193,87.7,87,41,Yes,Yes,Yes
MR00010,6,11,Female,6000,OBC,Primary,Clerk,8,No,No,No,4,Yes,220,161,73.2,73,50,Yes,No,Yes
MR00011,8,13,Female,7000,SC,Primary,Farmer,4,No,Yes,No,4,No,220,135,61.4,61,63,Yes,Yes,Yes
MR00012,8,13,Male,12000,SC,Primary,Clerk,7,Yes,Yes,Yes,5,Yes,220,139,63.2,63,44,Yes,No,Yes
MR00013,10,15,Male,18000,SC,Secondary,Clerk,8,No,Yes,Yes,2,Yes,220,153,69.5,69,61,Yes,Yes,Yes
MR00014,7,12,Male,7000,OBC,Primary,Labourer,6,Yes,No,Yes,2,Yes,220,128,58.2,58,58,Yes,Yes,No
MR00015,9,14,Male,7000,OBC,None,Shopkeeper,5,Yes,No,Yes,7,No,220,159,72.3,72,50,Yes,Yes,No
MR00016,6,11,Female,12000,SC,None,Labourer,7,No,Yes,No,1,Yes,220,181,82.3,82,64,Yes,Yes,No
MR00017,6,11,Female,12000,ST,Primary,Labourer,8,No,Yes,No,4,Yes,220,191,86.8,86,40,Yes,No,Yes
MR00018,6,11,Female,18000,ST,Primary,Labourer,6,Yes,No,No,3,Yes,220,128,58.2,58,67,Yes,Yes,Yes
MR00019,10,15,Female,18000,OBC,Graduate,Clerk,7,Yes,Yes,No,4,No,220,177,80.5,80,45,Yes,Yes,Yes
MR00020,9,14,Female,15000,OBC,None,Labourer,6,Yes,Yes,Yes,7,No,220,197,89.5,89,74,Yes,No,No
MR00021,9,14,Male,12000,General,Primary,Driver,6,Yes,Yes,No,2,Yes,220,175,79.5,79,61,Yes,Yes,Yes
MR00022,7,12,Male,15000,OBC,Graduate,Labourer,8,No,Yes,No,6,Yes,220,183,83.2,83,57,Yes,No,Yes
MR00023,10,15,Female,5000,SC,Secondary,Driver,6,No,No,Yes,7,Yes,220,135,61.4,61,51,Yes,Yes,No
MR00024,7,12,Female,15000,SC,Graduate,Labourer,7,Yes,No,Yes,6,Yes,220,207,94.1,94,45,Yes,Yes,Yes
MR00025,6,11,Female,6000,OBC,Primary,Clerk,8,Yes,Yes,Yes,4,No,220,187,85,85,75,Yes,Yes,No
MR00026,6,11,Female,15000,General,Secondary,Farmer,7,No,No,No,6,Yes,220,153,69.5,69,60,Yes,Yes,Yes
MR00027,10,15,Male,8000,General,Graduate,Labourer,5,No,No,Yes,5,No,220,142,64.5,64,44,Yes,No,Yes
MR00028,6,11,Male,6000,General,Secondary,Driver,7,Yes,No,Yes,2,Yes,220,166,75.5,75,45,Yes,Yes,No
MR00029,9,14,Male,18000,OBC,Primary,Farmer,7,No,Yes,No,1,Yes,220,140,63.6,63,69,Yes,No,Yes
MR00030,6,11,Female,5000,ST,Graduate,Driver,5,Yes,No,No,5,No,220,195,88.6,88,53,Yes,No,Yes
MR00031,7,12,Male,15000,ST,Secondary,Labourer,5,No,No,No,3,Yes,220,155,70.5,70,57,Yes,Yes,Yes
MR00032,8,13,Male,12000,ST,None,Farmer,5,Yes,Yes,No,7,No,220,196,89.1,89,57,Yes,Yes,Yes
MR00033,9,14,Female,8000,SC,Graduate,Driver,8,Yes,Yes,No,6,Yes,220,151,68.6,68,51,Yes,No,No
MR00034,6,11,Female,8000,ST,Primary,Clerk,7,No,Yes,Yes,4,Yes,220,155,70.5,70,48,Yes,No,No
MR00035,8,13,Female,7000,General,Secondary,Clerk,8,Yes,Yes,Yes,7,Yes,220,208,94.5,94,60,Yes,Yes,Yes
MR00036,8,13,Male,8000,ST,Secondary,Farmer,4,Yes,No,Yes,7,No,220,183,83.2,83,66,Yes,No,No
MR00037,7,12,Female,7000,SC,Secondary,Shopkeeper,6,Yes,No,Yes,2,Yes,220,188,85.5,85,44,Yes,Yes,Yes
MR00038,6,11,Female,7000,ST,Graduate,Driver,8,No,Yes,No,7,Yes,220,176,80,80,70,Yes,No,No
MR00039,10,15,Female,15000,General,Secondary,Farmer,8,No,No,No,7,No,220,149,67.7,67,67,Yes,Yes,No
